id	type	name	description
PP7435_Chr1-1226	tRNA	PP7435_Chr1-1226	Putative transfer RNA for Leucine (tRNA-Leu)
PP7435_Chr1-1227	ORF	GEA2	Guanine nucleotide exchange factor for ADP ribosylation factors (ARFs), involved in vesicular transport between the Golgi and ER, Golgi organization, and actin cytoskeleton organization, Pichia pastoris does not have the paralog GEA1
PP7435_Chr1-1228	ORF	PEX7	Signal receptor for the N-terminal nonapeptide signal (PTS2) of peroxisomal matrix proteins, known in S. cerevisiae as peroxisomal protein, WD repeat protein, defects in human homolog cause lethal rhizomelic chondrodysplasia punctata (RCDP)
PP7435_Chr1-1229	ORF	PP7435_Chr1-1229	Protein with low similarity to SPT21, protein with a role in transcriptional silencing
PP7435_Chr1-1230	ORF	SPO71	Meiosis-specific protein of unknown function, required for spore wall formation during sporulation, in particular for the proper size of the prospore membrane (PSM), interacts with SPO1, dispensable for both nuclear divisions during meiosis, contains two PH domains
PP7435_Chr1-1231	ORF	QOR2	Putative quinone oxidoreductase (NADPH:quinone reductase), similar to Scheffersomyces stipitis QOR2, and similarity to Zinc-binding dehydrogenases
PP7435_Chr1-1233	ORF	PP7435_Chr1-1233	Protein with low similarity to scaffold protein for the mitogen-activated protein (MAP) kinase cascade that regulates mating
PP7435_Chr1-1234	ORF	SLP1	Glycosylated integral ER membrane protein of unknown function in S. cerevisiae, forms an ER-membrane associated protein complex with Emp65p, member of the SUN-like family of proteins, genetic interactions suggest a role in folding of ER membrane proteins, required for nuclear envelope localization of Mps3p
PP7435_Chr1-1235	ORF	CLN3-2	G1 cyclin involved in cell cycle progression, activates Cdc28p kinase to promote the G1 to S phase transition, plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2, regulated by phosphorylation and proteolysis, acetly-CoA induces in S. cerevisiae CLN3 transcription in response to nutrient repletion to promote cell-cycle entry
PP7435_Chr1-1236	ORF	CAO1	Copper amine oxidase similar to S. pombe CAO1
PP7435_Chr1-1237	ORF	RTC1	Subunit of the SEA (Seh1-associated) complex, a coatomer-related complex that associates dynamically with the vacuole, null mutation in S. cerevisiae suppresses cdc13-1 temperature sensitivity, has N-terminal WD-40 repeats and a C-terminal RING motif
PP7435_Chr1-1238	ORF	PP7435_Chr1-1238	Protein with low similarity to cytoplasmic dynein intermediate chain
PP7435_Chr1-1239	ORF	SLD5	Subunit of the GINS complex (Sld5p, Psf1p, Psf2p, Psf3p), known in S. cerevisiae as protein localized to DNA replication origins and implicated in assembly of the DNA replication machinery
PP7435_Chr1-1240	ORF	ATP16	Delta subunit of the central stalk of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis, F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria, phosphorylated, enriched in mitochondria
PP7435_Chr1-1241	ORF	PP7435_Chr1-1241	Hypothetical protein not conserved
PP7435_Chr1-1242	ORF	PP7435_Chr1-1242	Protein with similarity to YLR446W (Putative hexokinase, transcript is upregulated during sporulation and the unfolded protein response, in S. cerevisiae YLR446W is not an essential gene)
PP7435_Chr1-1243	ORF	ALG13	Catalytic component of UDP-GlcNAc transferase, required for the second step of dolichyl-linked oligosaccharide synthesis, anchored to the ER membrane via interaction with Alg14p, similar to bacterial and human glycosyltransferases, protein abundance in S. cerevisiae increases in response to DNA replication stress
PP7435_Chr1-1244	ORF	PP7435_Chr1-1244	Hypothetical protein not well conserved
PP7435_Chr1-1245	ORF	ADE1	N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase, required for 'de novo' purine nucleotide biosynthesis, enriched in cytosol, red pigment accumulates in S. cerevisiae mutant cells deprived of adenine, protein abundance increases in response to DNA replication stress
PP7435_Chr1-1246	ORF	KIN3	Non-essential serine/threonine protein kinase, possible role in DNA damage response, influences tolerance to high levels of ethanol
PP7435_Chr1-1247	ORF	SEC6	Essential 88kDa subunit in S. cerevisiae of the exocyst complex, the exocyst mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis at the plasma membrane prior to SNARE-mediated fusion, anchors the assembled complex to sites of secretion, interacts with SM-like protein and SNARE regulator Sec1p and may recruit it to sites of secretion, interacts with Sec9p and inhibits formation of the t-SNARE complex between Sec9p and Sso1p
PP7435_Chr1-1248	ORF	PP7435_Chr1-1248	Hypothetical protein not well conserved (domain: centromere complex subunit, CENP_Q)
PP7435_Chr1-1249	ORF	PP7435_Chr1-1249	Protein with low similarity to PCI-domain-containing proteins
PP7435_Chr1-1250	ORF	PP7435_Chr1-1250	Hypothetical protein not conserved
PP7435_Chr1-1251	ORF	RRP40	Exosome non-catalytic core component, involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm, predicted to contain both S1 and KH RNA binding domains, has similarity to human hRrp40p (EXOSC3)
PP7435_Chr1-1252	ORF	FIG4	Phosphatidylinositol 3,5-bisphosphate (PtdIns[3,5]P) phosphatase, required for efficient mating and response to osmotic shock, physically associates with and regulated by Vac14p, contains a SAC1-like domain
PP7435_Chr1-1253	ORF	PPM2	AdoMet-dependent tRNA methyltransferase also involved in methoxycarbonylation, required for the synthesis of wybutosine (yW), a modified guanosine found at the 3'-position adjacent to the anticodon of phe-tRNA, similarity to Ppm1p
PP7435_Chr1-1254	ORF	ILV3	Dihydroxyacid dehydratase, catalyzes third step in the common pathway leading to biosynthesis of branched-chain amino acids, enriched in mitochondria in methanol-grown cells
PP7435_Chr1-1255	ORF	DAL7	Malate synthase, can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA, recycles glyoxylate generated during allantoin degradation, expression in S. cerevisiae sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation
PP7435_Chr1-1256	ORF	DAS2_Sc	Putative protein of unknown function, non-essential gene in S. cerevisiae, identified in a screen for mutants with increased levels of rDNA transcription, weak similarity with uridine kinases and with phosphoribokinases
PP7435_Chr1-1257	ORF	FAL1	Protein required for maturation of 18S rRNA, member of the eIF4A subfamily of DEAD-box ATP-dependent RNA helicases, enriched in plasma membrane in glucose-grown cells, known in S. cerevisiae as nucleolar protein
PP7435_Chr1-1258	ORF	PP7435_Chr1-1258	Hypothetical protein not well conserved
PP7435_Chr1-1259	ORF	SEC20	Membrane glycoprotein v-SNARE involved in retrograde transport from the Golgi to the ER, required for N- and O-glycosylation in the Golgi but not in the ER, interacts with the Dsl1p complex through Tip20p
PP7435_Chr1-1260	ORF	SES1	Cytosolic seryl-tRNA synthetase, class II aminoacyl-tRNA synthetase that aminoacylates tRNA(Ser), displays tRNA-dependent amino acid recognition which enhances discrimination of the serine substrate, interacts with peroxin Pex21p, enriched in cytosol
PP7435_Chr1-1261	ORF	PP7435_Chr1-1261	Hypothetical protein not well conserved
PP7435_Chr1-1262	ORF	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis, enriched in mitochondria
PP7435_Chr1-1263	tRNA	PP7435_Chr1-1263	Putative transfer RNA for Threonine (tRNA-Thr)
PP7435_Chr1-1264	tRNA	PP7435_Chr1-1264	Putative transfer RNA for Glutamic acid (tRNA-Glu)
PP7435_Chr1-1265	tRNA	PP7435_Chr1-1265	Putative transfer RNA for Glutamic acid (tRNA-Glu)
PP7435_Chr1-1266	tRNA	PP7435_Chr1-1266	Putative transfer RNA for Glutamic acid (tRNA-Glu)
PP7435_Chr1-1267	tRNA	PP7435_Chr1-1267	Putative transfer RNA for Glutamic acid (tRNA-Glu)
PP7435_Chr1-1268	ORF	MRX1	Protein that associates with mitochondrial ribosome, in S. cerevisiae the green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion and null mutation results in a decrease in plasma membrane electron transport
PP7435_Chr1-1269	ORF	PP7435_Chr1-1269	Protein with low similarity to PCI8, putatiove shared subunit of Cop9 signalosome (CSN) and eIF3 with putative dual functions in transcriptional and translational control
PP7435_Chr1-1270	ORF	ICP55	Aminopeptidase which cleaves the N termini of at least 38 imported proteins after cleavage by the mitochondrial processing peptidase (MPP), thereby increasing their stability, member of the aminopeptidase P family, enriched in plasma membrane in glucose-grown cells, known in S. cerevisiae as mitochondrial protein
PP7435_Chr1-1271	ORF	RSM27	Ribosomal protein of the small subunit, known in S. cerevisiae as mitochondrial protein
PP7435_Chr1-1272	ORF	GPI1	Membrane protein involved in the synthesis of N-acetylglucosaminyl phosphatidylinositol (GlcNAc-PI), the first intermediate in the synthesis of glycosylphosphatidylinositol (GPI) anchors, human and mouse GPI1p are functional homologs
PP7435_Chr1-1273	ORF	RPS0B	Protein component of the small (40S) ribosomal subunit, required for maturation of 18S rRNA along with Rps0Ap, enriched in cytosol, and additionally enriched in Golgi in glucose-grown cells, in S. cerevisiae deletion of either RPS0 gene reduces growth rate and deletion of both genes is lethal, homologous to human ribosomal protein SA and bacterial S2, Pichia pastoris does not have the paralog RPS0A
PP7435_Chr1-1274	ORF	FRE8	Protein with sequence similarity to iron/copper reductases, involved in iron homeostasis, in S. cerevisiae deletion mutant has iron deficiency/accumulation growth defect and expression increased in the absence of copper-responsive transcription factor Mac1p
PP7435_Chr1-1275	ORF	AMA1	Activator of meiotic anaphase promoting complex (APC/C), Cdc20p family member, required for initiation of spore wall assembly, required for Clb1p degradation during meiosis
PP7435_Chr1-1276	ORF	MTC6	Protein of unknown function, mtc6 is synthetically sick with cdc13-1
PP7435_Chr1-1277	ORF	DIE2	Dolichyl-phosphoglucose-dependent alpha-1,2 glucosyltransferase of the ER, functions in the pathway that synthesizes the dolichol-linked oligosaccharide precursor for N-linked protein glycosylation, has a role in regulation of ITR1 and INO1
PP7435_Chr1-1278	ORF	SMI1-2	Protein involved in the regulation of cell wall synthesis, proposed to be involved in coordinating cell cycle progression with cell wall integrity
PP7435_Chr1-1279	ORF	PHB2	Subunit of the prohibitin complex (Phb1p-Phb2p), a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins, determinant of replicative life span, involved in mitochondrial segregation, enriched in mitochondria
PP7435_Chr1-1280	ORF	NAS6	Evolutionarily conserved 19S regulatory particle assembly-chaperone, proteasome-interacting protein involved in the assembly of the base subcomplex of the 19S proteasomal regulatory particle (RP), ortholog of human oncoprotein gankyrin, also known as p28, which interacts with the Rb tumor suppressor and CDK4/6
PP7435_Chr1-1281	ORF	TAT2	High affinity tryptophan and tyrosine permease, enriched among several compartments, overexpression in S. cerevisiae confers FK506 and FTY720 resistance
PP7435_Chr1-1282	ORF	ZPR1	Essential protein with two zinc fingers, enriched in cytosol, known in S. cerevisiae as protein present in the nucleus of growing cells which relocates to the cytoplasm in starved cells via a process mediated by Cpr1p, binds to translation elongation factor eEF-1 (Tef1p), relative distribution to the nucleus increases upon DNA replication stress
PP7435_Chr1-1283	ORF	PP7435_Chr1-1283	Hypothetical protein not conserved
PP7435_Chr1-1284	ORF	CMC1	Copper-binding protein known in S. cerevisiae as mitochondrial intermembrane space protein, evolutionarily conserved, may be involved in delivering copper from the matrix to the cytochrome c oxidase complex, contains a twin CX9C motif
PP7435_Chr1-1285	ORF	SPC24	Component of the evolutionarily conserved kinetochore-associated Ndc80 complex (Ndc80p-Nuf2p-Spc24p-Spc25p), involved in chromosome segregation, spindle checkpoint activity and kinetochore clustering
PP7435_Chr1-1286	ORF	MRPL31	Ribosomal protein of the large subunit, known in S. cerevisiae as mitochondrial protein
PP7435_Chr1-1287	ORF	PP7435_Chr1-1287	Hypothetical protein conserved (domain: DASH complex subunit Hsk3 like)
PP7435_Chr1-1288	ORF	PP7435_Chr1-1288	Hypothetical protein not well conserved (domain: minimal binding domain of Hap4 for binding to Hap2/3/5)
PP7435_Chr1-1289	ORF	SHH3	Putative mitochondrial inner membrane protein of unknown function, enriched in mitochondria, although similar to paralogous Sdh3p, Shh3p is not a stoichiometric subunit of either succinate dehydrogenase or of the TIM22 translocase, Pichia pastoris does not have the paralog SDH3
PP7435_Chr1-1290	ORF	AIM9	Protein of unknown function, in S. cerevisiae the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies and null mutant displays elevated frequency of mitochondrial genome loss
PP7435_Chr1-1291	ORF	PP7435_Chr1-1291	Hypothetical protein not conserved (domain: Peptidase S8 family domain in CspA-like proteins)
PP7435_Chr1-1292	ORF	CYS3	Cystathionine gamma-lyase, catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine, enriched in cytosol, and additionally enriched in Golgi in glucose-grown cells, protein abundance in S. cerevisiae increases in response to DNA replication stress
PP7435_Chr1-1293	ORF	RPP2B	Ribosomal protein P2 beta, a component of the ribosomal stalk, which is involved in the interaction between translational elongation factors and the ribosome, regulates the accumulation of P1 (Rpp1Ap and Rpp1Bp) in the cytoplasm, enriched in Golgi and cytosol in glucose-grown cells
PP7435_Chr1-1294	ORF	RPS15	Protein component of the small (40S) ribosomal subunit, homologous to mammalian ribosomal protein S15 and bacterial S19, enriched in cytosol in glucose-grown cells
PP7435_Chr1-1295	ORF	DEP1	Component of the Rpd3L histone deacetylase complex, required for diauxic shift-induced histone H2B deposition onto rDNA genes, transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation
PP7435_Chr1-1296	ORF	NOP12	Protein involved in pre-25S rRNA processing and biogenesis of large 60S ribosomal subunit, contains an RNA recognition motif (RRM), binds to Ebp2, similar to Nop13p and Nsr1p, enriched in cytosol in methanol-grown cells, known in S. cerevisiae as nucleolar protein
PP7435_Chr1-1297	ORF	LAP3	Cysteine aminopeptidase with homocysteine-thiolactonase activity, protects cells against homocysteine toxicity, has bleomycin hydrolase activity in vitro, transcription is regulated by galactose via Gal4p, orthologous to human BLMH
PP7435_Chr1-1298	ORF	PP7435_Chr1-1298	Protein with low similarity to RRT8, protein involved in spore wall assembly
PP7435_Chr1-1299	ORF	GSH2	Glutathione synthetase, catalyzes the ATP-dependent synthesis of glutathione (GSH) from gamma-glutamylcysteine and glycine, induced in S. cerevisiae by oxidative stress and heat shock
PP7435_Chr1-1300	ORF	STT3	Subunit of the oligosaccharyltransferase complex of the ER lumen, which catalyzes asparagine-linked glycosylation of newly synthesized proteins, forms a subcomplex with Ost3p and Ost4p and is directly involved in catalysis, enriched in microsome, and additionally enriched in mitochondria in glucose-grown cells and in Golgi in methanol-grown cells
PP7435_Chr1-1301	ORF	KIP3-1	Kinesin-related motor protein involved in mitotic spindle positioning
PP7435_Chr1-1302	ORF	SIP2	One of three beta subunits of the Snf1 kinase complex, involved in the response to glucose starvation, in S. cerevisiae null mutants exhibit accelerated aging and the N-myristoylprotein is known as cytoplasmic and plasma membrane protein, Pichia pastoris does not have the paralog GAL83
PP7435_Chr1-1303	ORF	MDM34	Component of the ERMES complex, known in S. cerevisiae as mitochondrial protein, links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth
PP7435_Chr1-1304	ORF	VAM7	SNARE protein, known in S. cerevisiae as vacuolar protein which functions with Vam3p in vacuolar protein trafficking, has an N-terminal PX domain (phosphoinositide-binding module) that binds PtdIns-3-P and mediates membrane binding, SNAP-25 homolog, protein abundance in S. cerevisiae increases in response to DNA replication stress
PP7435_Chr1-1305	ORF	SKI8	Ski complex component and WD-repeat protein, mediates 3'-5' RNA degradation by the cytoplasmic exosome, also required for meiotic double-strand break recombination, S. cerevisiae null mutants have superkiller phenotype
PP7435_Chr1-1306	ORF	LAS1	Endonuclease involved in pre-rRNA processing at both ends of ITS2, functions with Grc3p in a conserved mechanism to modulate rRNA processing and ribosome biogenesis, may coordinate the action of the Rat1p-Rai1p exoRNAse, required for the G1/S cell cycle transition, human ortholog is Las1L, S. cerevisiae mutants require the SSD1-v allele for viability
PP7435_Chr1-1307	ORF	VPS35	Subunit of membrane-associated retromer complex required for retrograde transport, enriched in microsome and vacuole, known in S. cerevisiae as endosomal receptor that recognizes retrieval signals on cargo proteins, forms subcomplex with Vps26p and Vps29p that selects cargo proteins for retrieval, interacts with Ypt7p
PP7435_Chr1-1309	ORF	VAC14	Enzyme regulator, involved in synthesis of phosphatidylinositol 3,5-bisphosphate, in control of trafficking of some proteins to the vacuole lumen via the MVB, and in maintenance of vacuole size and acidity, binds negative (Fig4p) and positive (Fab1p) regulators of PtdIns(3,5)P(2) to control endolysosome function, similar to mammalian Vac14p, enriched in Golgi and vacuole
PP7435_Chr1-1311	ORF	STE23	Metalloprotease involved, with homolog Axl1p, in N-terminal processing of pro-a-factor to the mature form, enriched in cytosol in glucose-grown cells and in mitochondria in methanol-grown cells, expressed in S. cerevisiae in both haploids and diploids, member of the insulin-degrading enzyme family
PP7435_Chr1-1312	ORF	PP7435_Chr1-1312	Hypothetical protein conserved
PP7435_Chr1-1313	ORF	RAD50	Subunit of MRX complex with Mre11p and Xrs2p, complex is involved in processing double-strand DNA breaks in vegetative cells, initiation of meiotic DSBs, telomere maintenance, and nonhomologous end joining, forms nuclear foci upon DNA replication stress
PP7435_Chr1-1314	ORF	PP7435_Chr1-1314	Protein with similarity to YNL247W, enriched in cytosol (Cysteinyl-tRNA synthetase, may interact with ribosomes, based on co-purification experiments)
PP7435_Chr1-1315	ORF	PP7435_Chr1-1315	Protein with similarity to YJR015W (Putative protein of unknown function, known in S. cerevisiae as ER and cytoplasmic protein, predicted to encode a membrane transporter based on phylogenetic analysis, in S. cerevisiae YJR015W is not an essential gene, Pichia pastoris has also the paralog SNG1)
PP7435_Chr1-1316	ORF	SUT2	Zn2Cys6 family transcription factor, in S. cerevisiae positively regulates sterol uptake under anaerobic conditions with SUT1, represses filamentation-inducing genes during non-starvation conditions and positively regulates mating along with SUT1 by repressing the expression of genes (PRR2, NCE102 and RHO5) which function as mating inhibitors, in S. cerevisiae is multicopy suppressor of mutations that cause low activity of the cAMP/PKA pathway, Pichia pastoris does not have the paralog SUT1
PP7435_Chr1-1317	ORF	POP1	Subunit of both RNase MRP and nuclear RNase P, RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs, binds to the RPR1 RNA subunit in RNase P
PP7435_Chr1-1318	ORF	UAP3	Putative uric acid-xanthine permease (UAPA transporter) similar to Scheffersomyces stipitis UAP3
PP7435_Chr1-1319	ORF	JJJ1	Co-chaperone that stimulates the ATPase activity of Ssa1p, required for a late step of ribosome biogenesis, associated with the cytosolic large ribosomal subunit, contains a J-domain, mutation in S. cerevisiae causes defects in fluid-phase endocytosis
PP7435_Chr1-1320	ORF	GUD1-2	Guanine deaminase, a catabolic enzyme of the guanine salvage pathway producing xanthine and ammonia from guanine, in S. cerevisiae activity is low in exponentially-growing cultures but expression is increased in post-diauxic and stationary-phase cultures
PP7435_Chr1-1321	ORF	SQS1	Protein that stimulates the ATPase and helicase activities of Prp43p, acts with Prp43p to stimulate 18s rRNA maturation by Nob1p, overexpression in S. cerevisiae antagonizes the suppression of splicing defects by spp382 mutants, component of pre-ribosomal particles, known in S. cerevisiae as protein that relocalizes from nucleus to nucleolus upon DNA replication stress
PP7435_Chr1-1323	ORF	GUD1-1	Guanine deaminase, a catabolic enzyme of the guanine salvage pathway producing xanthine and ammonia from guanine, in S. cerevisiae activity is low in exponentially-growing cultures but expression is increased in post-diauxic and stationary-phase cultures
PP7435_Chr1-1324	ORF	PP7435_Chr1-1324	Hypothetical protein not conserved
PP7435_Chr1-1325	ORF	MIG1-2	Transcription factor involved in glucose repression, sequence specific DNA binding protein containing two Cys2His2 zinc finger motifs, regulated by the SNF1 kinase and the GLC7 phosphatase, regulates in S. cerevisiae filamentous growth along with Mig2p in response to glucose depletion
PP7435_Chr1-1326	ORF	SMB1	Core Sm protein Sm B, part of heteroheptameric complex (with Smd1p, Smd2p, Smd3p, Sme1p, Smx3p, and Smx2p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs, homolog of human Sm B and Sm B'
PP7435_Chr1-1327	ORF	CHZ1	Histone chaperone for Htz1p/H2A-H2B dimer, required for the stabilization of the Chz1p-Htz1-H2B complex, has overlapping function with Nap1p, S. cerevisiae null mutant displays weak sensitivity to MMS and benomyl, contains a highly conserved CHZ motif, protein abundance increases in response to DNA replication stress
PP7435_Chr1-1328	ORF	YPT32	Rab family GTPase involved in the exocytic pathway, mediates intra-Golgi traffic or the budding of post-Golgi vesicles from the trans-Golgi, enriched among several compartments, protein abundance in S. cerevisiae increases in response to DNA replication stress, Pichia pastoris does not have the paralog YPT31
PP7435_Chr1-1329	ORF	SPT16	Subunit of the heterodimeric FACT complex (Spt16p-Pob3p), which associates with chromatin via interaction with Nhp6Ap and Nhp6Bp, and reorganizes nucleosomes to facilitate access to DNA by RNA and DNA polymerases, some mutations cause reduced nucleosome occupancy over highly transcribed regions of the yeast genome, enriched in cytosol
PP7435_Chr1-1330	ORF	SOK2	Protein that negatively regulates pseudohyphal differentiation, known in S. cerevisiae as nuclear protein, plays a regulatory role in the cyclic AMP (cAMP)-dependent protein kinase (PKA) signal transduction pathway, in S. cerevisiae relocalizes to the cytosol in response to hypoxia, Pichia pastoris has also the paralog PHD1
PP7435_Chr1-1331	ORF	PEX11C	Biogenesis factor 11 similar to peroxisomal protein Pex11c of O. polymorpha
PP7435_Chr1-1332	ORF	CSR1	Phosphatidylinositol transfer protein, has a potential role in regulating lipid and fatty acid metabolism under heme-depleted conditions, interacts specifically with thioredoxin peroxidase, may have a role in oxidative stress resistance, enriched in cytosol, and additionally enriched in microsome in glucose-grown cells, protein abundance in S. cerevisiae increases in response to DNA replication stress
PP7435_Chr1-1333	tRNA	PP7435_Chr1-1333	Putative transfer RNA for Serine (tRNA-Ser)
PP7435_Chr1-1334	ORF	CDC24	Guanine nucleotide exchange factor for Cdc42p, also known as a GEF or GDP-release factor, required for polarity establishment and maintenance, and S. cerevisiae mutants have morphological defects in bud formation and shmooing, known in S. cerevisiae as nuclear protein that relocalizes to cytoplasm upon DNA replication stress
PP7435_Chr1-1335	ORF	NAM2	Leucyl-tRNA synthetase, known in S. cerevisiae as mitochondrial protein with direct role in splicing of several mitochondrial group I introns, indirectly required for mitochondrial genome maintenance
PP7435_Chr1-1336	ORF	SMC6	Component of the SMC5-SMC6 complex, this complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair, homologous to S. pombe rad18
PP7435_Chr1-1337	ORF	PP7435_Chr1-1337	Hypothetical protein conserved
PP7435_Chr1-1338	ORF	BOL2	Protein involved in repression of iron regulon transcription, enriched in Golgi in methanol-grown cells, known in S. cerevisiae as cytosolic protein which forms an iron-independent complex with Fra1p, Grx3p, and Grx4p, in S. cerevisiae null mutant fails to repress the iron regulon and is sensitive to nickel, sequence similarity to human BOLA family member, BOLA2
PP7435_Chr1-1339	ORF	NIF3	Protein of unknown function, similar to Listeria monocytogenes major sigma factor (rpoD gene product), in S. cerevisiae the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
PP7435_Chr1-1340	ORF	MRPS35	Mitochondrial ribosomal protein of the small subunit, S. cerevisiae null mutant does not grow on glycerol, is sensitive to 2,4-dichlorophenol, and accumulates large lipid droplets, enriched in mitochondria
PP7435_Chr1-1341	ORF	POX1	Fatty-acyl coenzyme A oxidase, involved in the fatty acid beta-oxidation pathway, enriched in peroxisome, localized to the peroxisomal matrix
PP7435_Chr1-1342	ORF	ESF2	Essential nucleolar protein in S. cerevisiae involved in pre-18S rRNA processing, binds to RNA and stimulates ATPase activity of Dbp8, involved in assembly of the small subunit (SSU) processome
PP7435_Chr1-1343	ORF	PP7435_Chr1-1343	Hypothetical protein not conserved
PP7435_Chr1-1344	ORF	ESP1	Separase, a caspase-like cysteine protease, promotes sister chromatid separation by mediating dissociation of the cohesin Scc1p from chromatin, inhibits protein phosphatase 2A-Cdc55p to promote mitotic exit, inhibited by Pds1p, relative distribution to the nucleus increases upon DNA replication stress
PP7435_Chr1-1345	ORF	PP7435_Chr1-1345	Hypothetical protein not conserved
PP7435_Chr1-1346	ORF	PP7435_Chr1-1346	Protein with low similarity to NADH-dependent oxidoreductase
PP7435_Chr1-1347	ORF	NNF2	Protein that exhibits physical and genetic interactions with Rpb8p, which is a subunit of RNA polymerases I, II, and III, computational analysis of large-scale protein-protein interaction data suggests a role in chromosome segregation
PP7435_Chr1-1348	ORF	MRI1	5'-methylthioribose-1-phosphate isomerase, catalyzes the isomerization of 5-methylthioribose-1-phosphate to 5-methylthioribulose-1-phosphate in the methionine salvage pathway, enriched in cytosol in glucose-grown cells
PP7435_Chr1-1349	ORF	PP7435_Chr1-1349	Hypothetical protein not well conserved, enriched in Golgi
PP7435_Chr1-1350	ORF	CHC1	Clathrin heavy chain, subunit of the major coat protein involved in intracellular protein transport and endocytosis, two heavy chains form the clathrin triskelion structural component, the light chain (CLC1) is thought to regulate function, enriched in cytosol
PP7435_Chr1-1351	ORF	PMP20	Peroxiredoxin, similar to peroxisomal membrane associated protein PMP20 of C. boidinii, enriched in peroxisome and among several compartments
PP7435_Chr1-1352	ORF	YSP3	Putative precursor to the subtilisin-like protease III, enriched in vacuole, and additionally enriched in Golgi in methanol-grown cells, Pichia pastoris has also the paralog PRB1
PP7435_Chr1-1353	ORF	MPH1	3'-5' DNA helicase involved in error-free bypass of DNA lesions, binds to flap DNA in an error-free bypass pathway and stimulates the activity of Rad27p and Dna2p, also involved in interstrand cross-link repair mutations confer a mutator phenotype, similarity to FANCM, a human Fanconi anemia complementation group protein that along with the MHF complex is involved in stabilizing and remodeling blocked replication forks, member of the SF2 DExD/H superfamily of helicases
PP7435_Chr1-1354	ORF	SEC3	Subunit of the exocyst complex, the exocyst mediates polarized targeting and tethering of post-Golgi secretory vesicles to sites of exocytosis prior to SNARE-mediated fusion, PtdIns[4,5]P2-binding protein that localizes to exocytic sites in a Rho1p-dependent, actin-independent manner, targeting and anchoring the exocyst to the plasma membrane with Exo70p, direct GTP Rho1p effector, required for ER inheritance, known in S. cerevisiae as protein of the bud neck that relocalizes away from bud neck upon DNA replication stress
PP7435_Chr1-1355	ORF	ADE6	Formylglycinamidine-ribonucleotide (FGAM)-synthetase, catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway, enriched in cytosol
PP7435_Chr1-1356	ORF	MEP3	Ammonium permease of high capacity and low affinity, belongs to a ubiquitous family of cytoplasmic membrane proteins that transport only ammonium (NH4+), expression in S. cerevisiae is under the nitrogen catabolite repression regulation ammonia permease, Pichia pastoris has also the paralog MEP1
PP7435_Chr1-1357	ORF	PP7435_Chr1-1357	Protein with similarity to YBR096W, enriched in mitochondria, and additionally enriched in microsome in glucose-grown cells (Putative protein of unknown function, in S. cerevisiae the green fluorescent protein (GFP)-fusion protein localizes to the ER)
PP7435_Chr1-1358	ORF	ATG11	Adapter protein for pexophagy and the cytoplasm-to-vacuole targeting (Cvt) pathway, directs receptor-bound cargo to the phagophore assembly site (PAS) for packaging into vesicles, previously known in Pichia pastoris as GSA9, enriched in vacuole in methanol-grown cells
PP7435_Chr1-1359	ORF	RFC5	Subunit of heteropentameric Replication factor C (RF-C), which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon
PP7435_Chr1-1360	ORF	MRPL16	Mitochondrial ribosomal protein of the large subunit, enriched in mitochondria, and additionally enriched in plasma membrane in glucose-grown cells
PP7435_Chr1-1362	ORF	HXK1	Hexokinase isoenzyme 1, a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism, enriched in cytosol, expression in S. cerevisiae is highest during growth on non-glucose carbon sources, glucose-induced repression involves hexokinase Hxk2p, Pichia pastoris has also the paralog HXK2
PP7435_Chr1-1363	ORF	PP7435_Chr1-1363	Hypothetical protein not conserved
