PP7435_Chr1-0001	PAS_chr1-3_0003
PP7435_Chr1-0563	PAS_chr1-1_0251
PP7435_Chr1-0564	PAS_chr1-1_0252
PP7435_Chr1-0565	PAS_chr1-1_0253
PP7435_Chr1-0566	PAS_chr1-1_0254
PP7435_Chr1-0567	PAS_chr1-1_0255
PP7435_Chr1-0568	PAS_chr1-1_0256
PP7435_Chr1-0569	PAS_chr1-1_0257
PP7435_Chr1-0570	PAS_chr1-1_0258
PP7435_Chr1-0571	PAS_chr1-1_0259
PP7435_Chr1-0572	PAS_chr1-1_0260
PP7435_Chr1-0573	PAS_chr1-1_0261
PP7435_Chr1-0574	PAS_chr1-1_0487
PP7435_Chr1-0575	PAS_chr1-1_0262
PP7435_Chr1-0576	PAS_chr1-1_0263
PP7435_Chr1-0577	
PP7435_Chr1-0578	PAS_chr1-1_0264
PP7435_Chr1-0579	PAS_chr1-1_0265
PP7435_Chr1-0580	PAS_chr1-1_0266
PP7435_Chr1-0581	PAS_chr1-1_0267
PP7435_Chr1-0582	PAS_chr1-1_0268
PP7435_Chr1-0583	PAS_chr1-1_0269
PP7435_Chr1-0584	PAS_chr1-1_0270
PP7435_Chr1-0585	PAS_chr1-1_0271
PP7435_Chr1-0586	homolog not anymore annotated
PP7435_Chr1-0587	no GS115 homolog
PP7435_Chr1-0588	PAS_chr1-1_0273
PP7435_Chr1-0589	PAS_chr1-1_0274
PP7435_Chr1-0590	PAS_chr1-1_0275
PP7435_Chr1-0591	PAS_chr1-1_0488
PP7435_Chr1-0592	PAS_chr1-1_0276
PP7435_Chr1-0593	PAS_chr1-1_0489
PP7435_Chr1-0594	PAS_chr1-1_0277
PP7435_Chr1-0595	PAS_chr1-1_0278
PP7435_Chr1-0596	PAS_chr1-1_0279
PP7435_Chr1-0597	PAS_chr1-1_0490
PP7435_Chr1-0598	PAS_chr1-1_0280
PP7435_Chr1-0599	PAS_chr1-1_0281
PP7435_Chr1-0600	PAS_chr1-1_0282
PP7435_Chr1-0601	PAS_chr1-1_0283
PP7435_Chr1-0602	PAS_chr1-1_0284
PP7435_Chr1-0603	PAS_chr1-1_0492
PP7435_Chr1-0604	PAS_chr1-1_0285
PP7435_Chr1-0605	PAS_chr1-1_0286
PP7435_Chr1-0606	PAS_chr1-1_0287
PP7435_Chr1-0607	PAS_chr1-1_0288
PP7435_Chr1-0608	PAS_chr1-1_0493
PP7435_Chr1-0609	PAS_chr1-1_0289
PP7435_Chr1-0610	PAS_chr1-1_0291
PP7435_Chr1-0611	PAS_chr1-1_0292
PP7435_Chr1-0612	PAS_chr1-1_0293
PP7435_Chr1-0613	PAS_chr1-1_0294
PP7435_Chr1-0614	PAS_chr1-1_0295
PP7435_Chr1-0615	PAS_chr1-1_0296
PP7435_Chr1-0616	PAS_chr1-1_0297
PP7435_Chr1-0617	PAS_chr1-1_0298
PP7435_Chr1-0618	PAS_chr1-1_0495
PP7435_Chr1-0619	PAS_chr1-1_0299
PP7435_Chr1-0620	PAS_chr1-1_0300
PP7435_Chr1-0621	PAS_chr1-1_0301
PP7435_Chr1-0622	PAS_chr1-1_0302
PP7435_Chr1-0623	PAS_chr1-1_0303
PP7435_Chr1-0624	PAS_chr1-1_0304
PP7435_Chr1-0625	PAS_chr1-1_0305
PP7435_Chr1-0626	
PP7435_Chr1-0627	PAS_chr1-1_0306
PP7435_Chr1-0628	PAS_chr1-1_0307
PP7435_Chr1-0629	PAS_chr1-1_0308
PP7435_Chr1-0630	PAS_chr1-1_0309
PP7435_Chr1-0631	PAS_chr1-1_0310
PP7435_Chr1-0632	PAS_chr1-1_0311
PP7435_Chr1-0633	PAS_chr1-1_0312
PP7435_Chr1-0634	PAS_chr1-1_0313
PP7435_Chr1-0635	PAS_chr1-1_0314
PP7435_Chr1-0636	PAS_chr1-1_0315
PP7435_Chr1-0637	PAS_chr1-1_0317
PP7435_Chr1-0638	PAS_chr1-1_0318
PP7435_Chr1-0639	PAS_chr1-1_0319
PP7435_Chr1-0640	PAS_chr1-1_0320
PP7435_Chr1-0641	
PP7435_Chr1-0642	PAS_chr1-1_0322
PP7435_Chr1-0643	PAS_chr1-1_0323
PP7435_Chr1-0644	PAS_chr1-1_0324
PP7435_Chr1-0645	PAS_chr1-1_0325
PP7435_Chr1-0646	PAS_chr1-1_0326
PP7435_Chr1-0647	PAS_chr1-1_0327
PP7435_Chr1-0648	PAS_chr1-1_0496
PP7435_Chr1-0649	PAS_chr1-1_0328
PP7435_Chr1-0650	PAS_chr1-1_0329
PP7435_Chr1-0651	PAS_chr1-1_0330
PP7435_Chr1-0652	PAS_chr1-1_0497
PP7435_Chr1-0653	PAS_chr1-1_0331
PP7435_Chr1-0654	PAS_chr1-1_0332
PP7435_Chr1-0655	PAS_chr1-1_0334
PP7435_Chr1-0656	PAS_chr1-1_0335
PP7435_Chr1-0657	PAS_chr1-1_0336
PP7435_Chr1-0658	PAS_chr1-1_0337
PP7435_Chr1-0660	PAS_chr1-1_0340
PP7435_Chr1-0661	PAS_chr1-1_0341
PP7435_Chr1-0662	PAS_chr1-1_0345
PP7435_Chr1-0663	PAS_chr1-1_0346
PP7435_Chr1-0664	PAS_chr1-1_0347
PP7435_Chr1-0665	
PP7435_Chr1-0666	
PP7435_Chr1-0667	PAS_chr1-1_0348
PP7435_Chr1-0669	PAS_chr1-1_0351
PP7435_Chr1-0670	PAS_chr1-1_0352
PP7435_Chr1-0671	PAS_chr1-1_0353
PP7435_Chr1-0672	PAS_chr1-1_0354
PP7435_Chr1-0673	PAS_chr1-1_0355
PP7435_Chr1-0674	PAS_chr1-1_0356
PP7435_Chr1-0675	PAS_chr1-1_0357
PP7435_Chr1-0676	PAS_chr1-1_0358
PP7435_Chr1-0677	PAS_chr1-1_0499
PP7435_Chr1-0678	PAS_chr1-1_0359
PP7435_Chr1-0679	PAS_chr1-1_0360
PP7435_Chr1-0680	PAS_chr1-1_0361
PP7435_Chr1-0681	PAS_chr1-1_0363
PP7435_Chr1-0682	PAS_chr1-1_0364
PP7435_Chr1-0683	PAS_chr1-1_0500
PP7435_Chr1-0684	PAS_chr1-1_0365
PP7435_Chr1-0685	
PP7435_Chr1-0686	
PP7435_Chr1-0687	PAS_chr1-1_0366
PP7435_Chr1-0688	PAS_chr1-1_0367
PP7435_Chr1-0689	PAS_chr1-1_0368
PP7435_Chr1-0690	PAS_chr1-1_0369
PP7435_Chr1-0691	PAS_chr1-1_0370
PP7435_Chr1-0692	PAS_chr1-1_0371
PP7435_Chr1-0693	PAS_chr1-1_0372
PP7435_Chr1-0694	PAS_chr1-1_0373
PP7435_Chr1-0695	PAS_chr1-1_0374
PP7435_Chr1-0698	PAS_chr1-1_0378
PP7435_Chr1-0699	PAS_chr1-1_0379
PP7435_Chr1-0700	PAS_chr1-1_0381
PP7435_Chr1-0701	PAS_chr1-1_0382
PP7435_Chr1-0702	PAS_chr1-1_0383
PP7435_Chr1-0703	PAS_chr1-1_0384
PP7435_Chr1-0704	PAS_chr1-1_0385
PP7435_Chr1-0705	PAS_chr1-1_0386
PP7435_Chr1-0706	PAS_chr1-1_0387
PP7435_Chr1-0707	PAS_chr1-1_0388
PP7435_Chr1-0708	PAS_chr1-1_0389
PP7435_Chr1-0709	PAS_chr1-1_0390
PP7435_Chr1-0710	PAS_chr1-1_0391
PP7435_Chr1-0711	PAS_chr1-1_0392
PP7435_Chr1-0712	PAS_chr1-1_0393
PP7435_Chr1-0713	PAS_chr1-1_0394
PP7435_Chr1-0714	PAS_chr1-1_0395
PP7435_Chr1-0715	PAS_chr1-1_0396
PP7435_Chr1-0716	PAS_chr1-1_0397
PP7435_Chr1-0717	PAS_chr1-1_0398
PP7435_Chr1-0718	PAS_chr1-1_0399
PP7435_Chr1-0719	PAS_chr1-1_0400
PP7435_Chr1-0720	PAS_chr1-1_0401
PP7435_Chr1-0721	no GS115 homolog
PP7435_Chr1-0722	PAS_chr1-1_0402
PP7435_Chr1-0723	PAS_chr1-1_0403
PP7435_Chr1-0725	PAS_chr1-1_0406
PP7435_Chr1-0726	PAS_chr1-1_0407
PP7435_Chr1-0727	PAS_chr1-1_0408
PP7435_Chr1-0728	PAS_chr1-1_0409
PP7435_Chr1-0729	PAS_chr1-1_0410
PP7435_Chr1-0730	PAS_chr1-1_0411
PP7435_Chr1-0731	PAS_chr1-1_0412
PP7435_Chr1-0732	PAS_chr1-1_0413
PP7435_Chr1-0734	PAS_chr1-1_0416
PP7435_Chr1-0735	PAS_chr1-1_0502
PP7435_Chr1-0736	PAS_chr1-1_0417
PP7435_Chr1-0737	PAS_chr1-1_0418
PP7435_Chr1-0738	PAS_chr1-1_0419
PP7435_Chr1-0739	PAS_chr1-1_0420
PP7435_Chr1-0740	PAS_chr1-1_0421
PP7435_Chr1-0741	
PP7435_Chr1-0742	PAS_chr1-1_0422
PP7435_Chr1-0743	PAS_chr1-1_0424
PP7435_Chr1-0744	PAS_chr1-1_0425
PP7435_Chr1-0745	PAS_chr1-1_0426
PP7435_Chr1-0746	PAS_chr1-1_0427
PP7435_Chr1-0747	PAS_chr1-1_0428
PP7435_Chr1-0748	PAS_chr1-1_0430
PP7435_Chr1-0749	PAS_chr1-1_0431
PP7435_Chr1-0750	PAS_chr1-1_0432
PP7435_Chr1-0751	PAS_chr1-1_0433
PP7435_Chr1-0752	PAS_chr1-1_0434
PP7435_Chr1-0753	
PP7435_Chr1-0754	PAS_chr1-1_0435
PP7435_Chr1-0755	PAS_chr1-1_0436
PP7435_Chr1-0756	PAS_chr1-1_0437
PP7435_Chr1-0757	PAS_chr1-1_0439
PP7435_Chr1-0758	PAS_chr1-1_0440
PP7435_Chr1-0759	PAS_chr1-1_0441
PP7435_Chr1-0760	PAS_chr1-1_0442
PP7435_Chr1-0761	PAS_chr1-1_0443
PP7435_Chr1-0762	PAS_chr1-1_0444
PP7435_Chr1-0763	PAS_chr1-1_0445
PP7435_Chr1-0764	
PP7435_Chr1-0765	PAS_chr1-1_0446
PP7435_Chr1-0766	PAS_chr1-1_0447
PP7435_Chr1-0767	PAS_chr1-1_0448
PP7435_Chr1-0768	PAS_chr1-1_0449
PP7435_Chr1-0769	PAS_chr1-1_0450
PP7435_Chr1-0770	homolog not anymore annotated
PP7435_Chr1-0771	PAS_chr1-1_0453
PP7435_Chr1-0772	PAS_chr1-1_0454
PP7435_Chr1-0773	PAS_chr1-1_0455
PP7435_Chr1-0774	PAS_chr1-1_0456
PP7435_Chr1-0775	PAS_chr1-1_0457
PP7435_Chr1-0777	PAS_chr1-4_0004
PP7435_Chr1-0779	PAS_chr1-4_0006
PP7435_Chr1-0780	PAS_chr1-4_0007
PP7435_Chr1-0781	PAS_chr1-4_0008
PP7435_Chr1-0782	PAS_chr1-4_0009
PP7435_Chr1-0783	PAS_chr1-4_0010
PP7435_Chr1-0784	PAS_chr1-4_0653
PP7435_Chr1-0785	PAS_chr1-4_0011
PP7435_Chr1-0786	no GS115 homolog
PP7435_Chr1-0787	PAS_chr1-4_0012
PP7435_Chr1-0788	PAS_chr1-4_0013
PP7435_Chr1-0789	PAS_chr1-4_0014
PP7435_Chr1-0790	PAS_chr1-4_0015
PP7435_Chr1-0791	PAS_chr1-4_0016
PP7435_Chr1-0792	PAS_chr1-4_0017
PP7435_Chr1-0793	PAS_chr1-4_0018
PP7435_Chr1-0794	PAS_chr1-4_0019
PP7435_Chr1-0795	PAS_chr1-4_0020
PP7435_Chr1-0796	PAS_chr1-4_0021
PP7435_Chr1-0797	PAS_chr1-4_0022
PP7435_Chr1-0798	PAS_chr1-4_0023
PP7435_Chr1-0799	PAS_chr1-4_0024
PP7435_Chr1-0801	PAS_chr1-4_0028
PP7435_Chr1-0802	PAS_chr1-4_0029
PP7435_Chr1-0803	PAS_chr1-4_0030
PP7435_Chr1-0804	homolog not anymore annotated
PP7435_Chr1-0805	homolog not anymore annotated
PP7435_Chr1-0806	homolog not anymore annotated
PP7435_Chr1-0807	PAS_chr1-4_0034
PP7435_Chr1-0808	PAS_chr1-4_0035
PP7435_Chr1-0809	PAS_chr1-4_0036
PP7435_Chr1-0810	PAS_chr1-4_0037
PP7435_Chr1-0811	PAS_chr1-4_0038
PP7435_Chr1-0812	PAS_chr1-4_0039
PP7435_Chr1-0813	PAS_chr1-4_0040
PP7435_Chr1-0814	PAS_chr1-4_0041
PP7435_Chr1-0815	PAS_chr1-4_0042
PP7435_Chr1-0816	PAS_chr1-4_0043
PP7435_Chr1-0817	PAS_chr1-4_0044
PP7435_Chr1-0818	PAS_chr1-4_0045
PP7435_Chr1-0819	PAS_chr1-4_0046
PP7435_Chr1-0820	PAS_chr1-4_0047
PP7435_Chr1-0821	
PP7435_Chr1-0822	PAS_chr1-4_0048
PP7435_Chr1-0823	PAS_chr1-4_0049
PP7435_Chr1-0824	PAS_chr1-4_0050
PP7435_Chr1-0825	
PP7435_Chr1-0826	PAS_chr1-4_0051
PP7435_Chr1-0827	PAS_chr1-4_0052
PP7435_Chr1-0828	PAS_chr1-4_0053
PP7435_Chr1-0829	PAS_chr1-4_0054
PP7435_Chr1-0830	PAS_chr1-4_0055
PP7435_Chr1-0831	PAS_chr1-4_0057
PP7435_Chr1-0832	PAS_chr1-4_0058
PP7435_Chr1-0834	PAS_chr1-4_0061
PP7435_Chr1-0837	PAS_chr1-4_0066
PP7435_Chr1-0838	PAS_chr1-4_0067
PP7435_Chr1-0839	PAS_chr1-4_0068
PP7435_Chr1-0840	PAS_chr1-4_0069
PP7435_Chr1-0841	PAS_chr1-4_0071
PP7435_Chr1-0842	PAS_chr1-4_0072
PP7435_Chr1-0843	PAS_chr1-4_0073
PP7435_Chr1-0844	PAS_chr1-4_0074
PP7435_Chr1-0845	PAS_chr1-4_0075
PP7435_Chr1-0846	PAS_chr1-4_0076
PP7435_Chr1-0847	PAS_chr1-4_0077
PP7435_Chr1-0848	PAS_chr1-4_0078
PP7435_Chr1-0849	PAS_chr1-4_0079
PP7435_Chr1-0850	PAS_chr1-4_0080
PP7435_Chr1-0851	PAS_chr1-4_0081
PP7435_Chr1-0852	PAS_chr1-4_0082
PP7435_Chr1-0853	PAS_chr1-4_0083
PP7435_Chr1-0854	PAS_chr1-4_0084
PP7435_Chr1-0855	PAS_chr1-4_0085
PP7435_Chr1-0856	
PP7435_Chr1-0857	
PP7435_Chr1-0858	PAS_chr1-4_0086
PP7435_Chr1-0859	PAS_chr1-4_0087
PP7435_Chr1-0860	PAS_chr1-4_0088
PP7435_Chr1-0861	PAS_chr1-4_0089
PP7435_Chr1-0862	PAS_chr1-4_0090
PP7435_Chr1-0863	PAS_chr1-4_0091
PP7435_Chr1-0864	PAS_chr1-4_0092
PP7435_Chr1-0865	PAS_chr1-4_0093
PP7435_Chr1-0866	PAS_chr1-4_0094
PP7435_Chr1-0867	PAS_chr1-4_0655
PP7435_Chr1-0868	PAS_chr1-4_0095
PP7435_Chr1-0869	PAS_chr1-4_0096
PP7435_Chr1-0870	PAS_chr1-4_0098
PP7435_Chr1-0871	PAS_chr1-4_0099
PP7435_Chr1-0872	PAS_chr1-4_0100
PP7435_Chr1-0873	PAS_chr1-4_0101
PP7435_Chr1-0874	PAS_chr1-4_0102
PP7435_Chr1-0875	PAS_chr1-4_0104
PP7435_Chr1-0876	PAS_chr1-4_0105
PP7435_Chr1-0877	PAS_chr1-4_0106
PP7435_Chr1-0878	PAS_chr1-4_0107
PP7435_Chr1-0879	
PP7435_Chr1-0880	PAS_chr1-4_0108
PP7435_Chr1-0881	PAS_chr1-4_0109
PP7435_Chr1-0882	PAS_chr1-4_0112
PP7435_Chr1-0883	PAS_chr1-4_0113
PP7435_Chr1-0884	PAS_chr1-4_0114
PP7435_Chr1-0885	PAS_chr1-4_0115
PP7435_Chr1-0886	PAS_chr1-4_0116
PP7435_Chr1-0887	PAS_chr1-4_0117
PP7435_Chr1-0888	PAS_chr1-4_0118
PP7435_Chr1-0890	PAS_chr1-4_0122
PP7435_Chr1-0891	PAS_chr1-4_0123
PP7435_Chr1-0892	PAS_chr1-4_0124
PP7435_Chr1-0893	PAS_chr1-4_0125
PP7435_Chr1-0894	PAS_chr1-4_0126
PP7435_Chr1-0895	PAS_chr1-4_0128
PP7435_Chr1-0896	PAS_chr1-4_0129
PP7435_Chr1-0897	PAS_chr1-4_0130
PP7435_Chr1-0898	PAS_chr1-4_0131
PP7435_Chr1-0899	PAS_chr1-4_0132
PP7435_Chr1-0900	PAS_chr1-4_0133
PP7435_Chr1-0901	PAS_chr1-4_0134
PP7435_Chr1-0902	PAS_chr1-4_0135
PP7435_Chr1-0903	PAS_chr1-4_0136
PP7435_Chr1-0904	PAS_chr1-4_0137
PP7435_Chr1-0905	PAS_chr1-4_0138
PP7435_Chr1-0906	PAS_chr1-4_0139
PP7435_Chr1-0907	PAS_chr1-4_0140
PP7435_Chr1-0908	PAS_chr1-4_0141
PP7435_Chr1-0909	PAS_chr1-4_0142
PP7435_Chr1-0910	PAS_chr1-4_0143
PP7435_Chr1-0911	PAS_chr1-4_0144
PP7435_Chr1-0912	PAS_chr1-4_0656
PP7435_Chr1-0913	PAS_chr1-4_0145
PP7435_Chr1-0914	PAS_chr1-4_0146
PP7435_Chr1-0915	PAS_chr1-4_0147
PP7435_Chr1-0916	PAS_chr1-4_0148
PP7435_Chr1-0917	PAS_chr1-4_0694
PP7435_Chr1-0918	PAS_chr1-4_0149
PP7435_Chr1-0919	PAS_chr1-4_0150
PP7435_Chr1-0920	PAS_chr1-4_0151
PP7435_Chr1-0921	PAS_chr1-4_0152
PP7435_Chr1-0922	PAS_chr1-4_0153
PP7435_Chr1-0923	PAS_chr1-4_0154
PP7435_Chr1-0924	PAS_chr1-4_0155
PP7435_Chr1-0925	PAS_chr1-4_0156
PP7435_Chr1-0926	PAS_chr1-4_0157
PP7435_Chr1-0927	PAS_chr1-4_0158
PP7435_Chr1-0928	PAS_chr1-4_0159
PP7435_Chr1-0929	PAS_chr1-4_0160
PP7435_Chr1-0930	PAS_chr1-4_0161
PP7435_Chr1-0931	PAS_chr1-4_0162
PP7435_Chr1-0932	PAS_chr1-4_0163
PP7435_Chr1-0933	PAS_chr1-4_0695
PP7435_Chr1-0934	PAS_chr1-4_0164
PP7435_Chr1-0935	PAS_chr1-4_0165
PP7435_Chr1-0936	PAS_chr1-4_0657
PP7435_Chr1-0937	PAS_chr1-4_0658
PP7435_Chr1-0938	no GS115 homolog
PP7435_Chr1-0939	PAS_chr1-4_0166
PP7435_Chr1-0940	
PP7435_Chr1-0941	PAS_chr1-4_0167
PP7435_Chr1-0942	PAS_chr1-4_0168
PP7435_Chr1-0943	PAS_chr1-4_0169
PP7435_Chr1-0944	PAS_chr1-4_0170
PP7435_Chr1-0945	PAS_chr1-4_0171
PP7435_Chr1-0946	PAS_chr1-4_0172
PP7435_Chr1-0947	PAS_chr1-4_0173
PP7435_Chr1-0948	PAS_chr1-4_0659
PP7435_Chr1-0949	PAS_chr1-4_0660
PP7435_Chr1-0950	PAS_chr1-4_0175
PP7435_Chr1-0951	PAS_chr1-4_0176
PP7435_Chr1-0952	PAS_chr1-4_0177
PP7435_Chr1-0953	no GS115 homolog
PP7435_Chr1-0954	PAS_chr1-4_0178
PP7435_Chr1-0955	PAS_chr1-4_0179
PP7435_Chr1-0956	PAS_chr1-4_0181
PP7435_Chr1-0957	PAS_chr1-4_0182
PP7435_Chr1-0958	PAS_chr1-4_0183
PP7435_Chr1-0959	no GS115 homolog
PP7435_Chr1-0960	PAS_chr1-4_0184
PP7435_Chr1-0961	PAS_chr1-4_0185
PP7435_Chr1-0962	PAS_chr1-4_0186
PP7435_Chr1-0963	PAS_chr1-4_0187
PP7435_Chr1-0964	PAS_chr1-4_0188
PP7435_Chr1-0965	PAS_chr1-4_0189
PP7435_Chr1-0966	PAS_chr1-4_0190
PP7435_Chr1-0967	PAS_chr1-4_0191
PP7435_Chr1-0968	PAS_chr1-4_0192
PP7435_Chr1-0969	PAS_chr1-4_0193
PP7435_Chr1-0970	PAS_chr1-4_0194
PP7435_Chr1-0971	PAS_chr1-4_0195
PP7435_Chr1-0972	PAS_chr1-4_0196
PP7435_Chr1-0973	PAS_chr1-4_0197
PP7435_Chr1-0974	PAS_chr1-4_0198
PP7435_Chr1-0975	PAS_chr1-4_0199
PP7435_Chr1-0976	PAS_chr1-4_0201
PP7435_Chr1-0977	PAS_chr1-4_0202
PP7435_Chr1-0978	PAS_chr1-4_0203
PP7435_Chr1-0979	PAS_chr1-4_0204
PP7435_Chr1-0980	PAS_chr1-4_0205
PP7435_Chr1-0981	PAS_chr1-4_0693
PP7435_Chr1-0982	PAS_chr1-4_0206
PP7435_Chr1-0983	PAS_chr1-4_0207
PP7435_Chr1-0985	
PP7435_Chr1-0986	PAS_chr1-4_0662
PP7435_Chr1-0987	PAS_chr1-4_0209
PP7435_Chr1-0988	PAS_chr1-4_0210
PP7435_Chr1-0989	PAS_chr1-4_0211
PP7435_Chr1-0990	PAS_chr1-4_0212
PP7435_Chr1-0991	PAS_chr1-4_0213
PP7435_Chr1-0992	PAS_chr1-4_0215
PP7435_Chr1-0993	PAS_chr1-4_0216
PP7435_Chr1-0994	PAS_chr1-4_0217
PP7435_Chr1-0995	PAS_chr1-4_0218
PP7435_Chr1-0996	PAS_chr1-4_0219
PP7435_Chr1-0997	
PP7435_Chr1-0998	
PP7435_Chr1-0999	
PP7435_Chr1-1000	PAS_chr1-4_0220
PP7435_Chr1-1001	PAS_chr1-4_0222
PP7435_Chr1-1002	PAS_chr1-4_0223
PP7435_Chr1-1003	PAS_chr1-4_0224
PP7435_Chr1-1004	PAS_chr1-4_0225
PP7435_Chr1-1005	PAS_chr1-4_0226
PP7435_Chr1-1006	PAS_chr1-4_0663
PP7435_Chr1-1007	PAS_chr1-4_0227
PP7435_Chr1-1008	PAS_chr1-4_0228
PP7435_Chr1-1009	PAS_chr1-4_0229
PP7435_Chr1-1010	PAS_chr1-4_0230
PP7435_Chr1-1011	no GS115 homolog
PP7435_Chr1-1012	PAS_chr1-4_0231
PP7435_Chr1-1013	PAS_chr1-4_0232
PP7435_Chr1-1014	PAS_chr1-4_0233
PP7435_Chr1-1015	PAS_chr1-4_0234
PP7435_Chr1-1016	PAS_chr1-4_0235
PP7435_Chr1-1017	PAS_chr1-4_0236
PP7435_Chr1-1018	PAS_chr1-4_0237
PP7435_Chr1-1019	PAS_chr1-4_0238
PP7435_Chr1-1020	PAS_chr1-4_0239
PP7435_Chr1-1021	PAS_chr1-4_0241
PP7435_Chr1-1022	PAS_chr1-4_0242
PP7435_Chr1-1023	PAS_chr1-4_0243
PP7435_Chr1-1024	PAS_chr1-4_0244
PP7435_Chr1-1025	PAS_chr1-4_0245
PP7435_Chr1-1026	PAS_chr1-4_0246
PP7435_Chr1-1027	PAS_chr1-4_0247
PP7435_Chr1-1028	PAS_chr1-4_0248
PP7435_Chr1-1029	PAS_chr1-4_0249
PP7435_Chr1-1030	PAS_chr1-4_0251
PP7435_Chr1-1031	PAS_chr1-4_0252
PP7435_Chr1-1032	PAS_chr1-4_0253
PP7435_Chr1-1033	PAS_chr1-4_0254
PP7435_Chr1-1034	PAS_chr1-4_0255
PP7435_Chr1-1035	PAS_chr1-4_0256
PP7435_Chr1-1036	PAS_chr1-4_0257
PP7435_Chr1-1037	no GS115 homolog
PP7435_Chr1-1038	PAS_chr1-4_0258
PP7435_Chr1-1039	PAS_chr1-4_0260
PP7435_Chr1-1040	PAS_chr1-4_0261
PP7435_Chr1-1041	PAS_chr1-4_0262
PP7435_Chr1-1042	PAS_chr1-4_0263
PP7435_Chr1-1043	PAS_chr1-4_0664
PP7435_Chr1-1044	PAS_chr1-4_0264
PP7435_Chr1-1045	PAS_chr1-4_0265
PP7435_Chr1-1046	PAS_chr1-4_0665
PP7435_Chr1-1047	PAS_chr1-4_0267
PP7435_Chr1-1048	PAS_chr1-4_0268
PP7435_Chr1-1049	PAS_chr1-4_0269
PP7435_Chr1-1050	PAS_chr1-4_0270
PP7435_Chr1-1051	PAS_chr1-4_0271
PP7435_Chr1-1052	PAS_chr1-4_0272
PP7435_Chr1-1053	PAS_chr1-4_0273
PP7435_Chr1-1054	PAS_chr1-4_0274
PP7435_Chr1-1055	PAS_chr1-4_0275
PP7435_Chr1-1057	PAS_chr1-4_0277
PP7435_Chr1-1058	PAS_chr1-4_0278
PP7435_Chr1-1059	PAS_chr1-4_0279
PP7435_Chr1-1060	PAS_chr1-4_0280
PP7435_Chr1-1061	no GS115 homolog
PP7435_Chr1-1062	PAS_chr1-4_0698
PP7435_Chr1-1063	PAS_chr1-4_0281
PP7435_Chr1-1064	PAS_chr1-4_0282
PP7435_Chr1-1065	PAS_chr1-4_0283
PP7435_Chr1-1066	PAS_chr1-4_0284
PP7435_Chr1-1067	PAS_chr1-4_0699
PP7435_Chr1-1068	PAS_chr1-4_0285
PP7435_Chr1-1069	PAS_chr1-4_0286
PP7435_Chr1-1070	PAS_chr1-4_0287
PP7435_Chr1-1071	PAS_chr1-4_0666
PP7435_Chr1-1072	PAS_chr1-4_0288
PP7435_Chr1-1073	PAS_chr1-4_0289
PP7435_Chr1-1074	PAS_chr1-4_0290
PP7435_Chr1-1075	PAS_chr1-4_0292
PP7435_Chr1-1076	PAS_chr1-4_0293
PP7435_Chr1-1077	PAS_chr1-4_0294
PP7435_Chr1-1078	PAS_chr1-4_0295
PP7435_Chr1-1079	PAS_chr1-4_0296
PP7435_Chr1-1080	PAS_chr1-4_0297
PP7435_Chr1-1081	PAS_chr1-4_0667
PP7435_Chr1-1082	PAS_chr1-4_0668
PP7435_Chr1-1083	PAS_chr1-4_0298
PP7435_Chr1-1084	PAS_chr1-4_0299
PP7435_Chr1-1085	PAS_chr1-4_0300
PP7435_Chr1-1086	PAS_chr1-4_0301
PP7435_Chr1-1087	PAS_chr1-4_0302
PP7435_Chr1-1088	PAS_chr1-4_0303
PP7435_Chr1-1089	PAS_chr1-4_0669
PP7435_Chr1-1090	PAS_chr1-4_0304
PP7435_Chr1-1091	PAS_chr1-4_0305
PP7435_Chr1-1092	PAS_chr1-4_0306
PP7435_Chr1-1093	PAS_chr1-4_0307
PP7435_Chr1-1094	PAS_chr1-4_0308
PP7435_Chr1-1095	PAS_chr1-4_0309
PP7435_Chr1-1096	PAS_chr1-4_0310
PP7435_Chr1-1097	PAS_chr1-4_0311
PP7435_Chr1-1098	PAS_chr1-4_0312
PP7435_Chr1-1099	PAS_chr1-4_0313
PP7435_Chr1-1100	PAS_chr1-4_0314
PP7435_Chr1-1101	PAS_chr1-4_0315
PP7435_Chr1-1102	PAS_chr1-4_0316
PP7435_Chr1-1103	PAS_chr1-4_0317
PP7435_Chr1-1104	PAS_chr1-4_0318
PP7435_Chr1-1105	PAS_chr1-4_0319
PP7435_Chr1-1106	PAS_chr1-4_0320
PP7435_Chr1-1107	PAS_chr1-4_0321
PP7435_Chr1-1108	PAS_chr1-4_0322
PP7435_Chr1-1109	PAS_chr1-4_0323
PP7435_Chr1-1110	PAS_chr1-4_0324
PP7435_Chr1-1111	PAS_chr1-4_0325
PP7435_Chr1-1112	PAS_chr1-4_0326
PP7435_Chr1-1113	PAS_chr1-4_0327
PP7435_Chr1-1115	PAS_chr1-4_0671
PP7435_Chr1-1116	PAS_chr1-4_0329
PP7435_Chr1-1117	PAS_chr1-4_0330
PP7435_Chr1-1118	PAS_chr1-4_0332
PP7435_Chr1-1119	PAS_chr1-4_0333
PP7435_Chr1-1120	PAS_chr1-4_0334
PP7435_Chr1-1121	PAS_chr1-4_0335
PP7435_Chr1-1122	PAS_chr1-4_0336
PP7435_Chr1-1123	PAS_chr1-4_0338
PP7435_Chr1-1124	PAS_chr1-4_0339
PP7435_Chr1-1125	PAS_chr1-4_0672
PP7435_Chr1-1126	PAS_chr1-4_0340
